0.0358sec.; Torque load: 11.7000
0.0359sec.; Torque load: 11.7000
0.0360sec.; Torque load: 11.7000
0.0361sec.; Torque load: 11.7000
0.0362sec.; Torque load: 11.7000
0.0364sec.; Torque load: 11.7000
0.0365sec.; Torque load: 11.7000
0.0366sec.; Torque load: 11.7000
0.0367sec.; Torque load: 11.7000
0.0369sec.; Torque load: 11.7000
0.0370sec.; Torque load: 11.7000
0.0371sec.; Torque load: 11.7000
0.0372sec.; Torque load: 11.7000
0.0374sec.; Torque load: 11.7000
0.0375sec.; Torque load: 11.7000
0.0376sec.; Torque load: 11.7000
0.0377sec.; Torque load: 11.7000
0.0379sec.; Torque load: 11.7000
0.0380sec.; Torque load: 11.7000
0.0381sec.; Torque load: 11.7000
0.0382sec.; Torque load: 11.7000
0.0384sec.; Torque load: 11.7000
0.0385sec.; Torque load: 11.7000
0.0386sec.; Torque load: 11.7000
0.0387sec.; Torque load: 11.7000
0.0389sec.; Torque load: 11.7000
0.0390sec.; Torque load: 11.7000
0.0391sec.; Torque load: 11.7000
0.0393sec.; Torque load: 11.7000
0.0394sec.; Torque load: 11.7000
0.0395sec.; Torque load: 11.7000
0.0396sec.; Torque load: 11.7000
0.0398sec.; Torque load: 11.7000
0.0399sec.; Torque load: 11.7000
0.0400sec.; Torque load: 11.7000
0.0401sec.; Torque load: 11.7000
0.0403sec.; Torque load: 11.7000
0.0404sec.; Torque load: 11.7000
0.0405sec.; Torque load: 11.7000
0.0406sec.; Torque load: 11.7000
0.0408sec.; Torque load: 11.7000
0.0409sec.; Torque load: 11.7000
0.0410sec.; Torque load: 11.7000
0.0411sec.; Torque load: 11.7000
0.0413sec.; Torque load: 11.7000
0.0414sec.; Torque load: 11.7000
0.0415sec.; Torque load: 11.7000
0.0416sec.; Torque load: 11.7000
0.0418sec.; Torque load: 11.7000
0.0419sec.; Torque load: 11.7000
0.0420sec.; Torque load: 11.7000
0.0421sec.; Torque load: 11.7000
0.0423sec.; Torque load: 11.7000
0.0424sec.; Torque load: 11.7000
0.0425sec.; Torque load: 11.7000
0.0426sec.; Torque load: 11.7000
0.0428sec.; Torque load: 11.7000
0.0429sec.; Torque load: 11.7000
0.0430sec.; Torque load: 11.7000
0.0431sec.; Torque load: 11.7000
0.0433sec.; Torque load: 11.7000
0.0434sec.; Torque load: 11.7000
0.0435sec.; Torque load: 11.7000
0.0436sec.; Torque load: 11.7000
0.0438sec.; Torque load: 11.7000
0.0439sec.; Torque load: 11.7000
0.0440sec.; Torque load: 11.7000
0.0441sec.; Torque load: 11.7000
0.0442sec.; Torque load: 11.7000
0.0444sec.; Torque load: 11.7000
0.0445sec.; Torque load: 11.7000
0.0446sec.; Torque load: 11.7000
0.0447sec.; Torque load: 11.7000
0.0449sec.; Torque load: 11.7000
0.0450sec.; Torque load: 11.7000
0.0451sec.; Torque load: 11.7000
0.0452sec.; Torque load: 11.7000
0.0454sec.; Torque load: 11.7000
0.0455sec.; Torque load: 11.7000
0.0456sec.; Torque load: 11.7000
0.0457sec.; Torque load: 11.7000
0.0459sec.; Torque load: 11.7000
0.0460sec.; Torque load: 11.7000
0.0461sec.; Torque load: 11.7000
0.0462sec.; Torque load: 11.7000
0.0464sec.; Torque load: 11.7000
0.0465sec.; Torque load: 11.7000
0.0466sec.; Torque load: 11.7000
0.0467sec.; Torque load: 11.7000
0.0469sec.; Torque load: 11.7000
0.0470sec.; Torque load: 11.7000
0.0471sec.; Torque load: 11.7000
0.0473sec.; Torque load: 11.7000
0.0474sec.; Torque load: 11.7000
0.0475sec.; Torque load: 11.7000
0.0476sec.; Torque load: 11.7000
0.0478sec.; Torque load: 11.7000
0.0479sec.; Torque load: 11.7000
0.0480sec.; Torque load: 11.7000
0.0481sec.; Torque load: 11.7000
0.0483sec.; Torque load: 11.7000
0.0484sec.; Torque load: 11.7000
0.0485sec.; Torque load: 11.7000
0.0486sec.; Torque load: 11.7000
0.0488sec.; Torque load: 11.7000
0.0489sec.; Torque load: 11.7000
0.0490sec.; Torque load: 11.7000
0.0491sec.; Torque load: 11.7000
0.0493sec.; Torque load: 11.7000
0.0494sec.; Torque load: 11.7000
0.0495sec.; Torque load: 11.7000
0.0496sec.; Torque load: 11.7000
0.0498sec.; Torque load: 11.7000
0.0499sec.; Torque load: 11.7000
0.0500sec.; Torque load: 11.7000
0.0501sec.; Torque load: 11.7000
0.0503sec.; Torque load: 11.7000
0.0504sec.; Torque load: 11.7000
0.0505sec.; Torque load: 11.7000
0.0506sec.; Torque load: 11.7000
0.0508sec.; Torque load: 11.7000
0.0509sec.; Torque load: 11.7000
0.0510sec.; Torque load: 11.7000
0.0511sec.; Torque load: 11.7000
0.0513sec.; Torque load: 11.7000
0.0514sec.; Torque load: 11.7000
0.0515sec.; Torque load: 11.7000
0.0516sec.; Torque load: 11.7000
0.0518sec.; Torque load: 11.7000
0.0519sec.; Torque load: 11.7000
0.0520sec.; Torque load: 11.7000
0.0521sec.; Torque load: 11.7000
0.0522sec.; Torque load: 11.7000
0.0524sec.; Torque load: 11.7000
0.0525sec.; Torque load: 11.7000
0.0526sec.; Torque load: 11.7000
0.0527sec.; Torque load: 11.7000
0.0529sec.; Torque load: 11.7000
0.0530sec.; Torque load: 11.7000
0.0531sec.; Torque load: 11.7000
0.0532sec.; Torque load: 11.7000
0.0534sec.; Torque load: 11.7000
0.0535sec.; Torque load: 11.7000
0.0536sec.; Torque load: 11.7000
0.0537sec.; Torque load: 11.7000
0.0539sec.; Torque load: 11.7000
0.0540sec.; Torque load: 11.7000
0.0541sec.; Torque load: 11.7000
0.0542sec.; Torque load: 11.7000
0.0544sec.; Torque load: 11.7000
0.0545sec.; Torque load: 11.7000
0.0546sec.; Torque load: 11.7000
0.0548sec.; Torque load: 11.7000
0.0549sec.; Torque load: 11.7000
0.0550sec.; Torque load: 11.7000
0.0551sec.; Torque load: 11.7000
0.0553sec.; Torque load: 11.7000
0.0554sec.; Torque load: 11.7000
0.0555sec.; Torque load: 11.7000
0.0556sec.; Torque load: 11.7000
0.0558sec.; Torque load: 11.7000
0.0559sec.; Torque load: 11.7000
0.0560sec.; Torque load: 11.7000
0.0561sec.; Torque load: 11.7000
0.0563sec.; Torque load: 11.7000
0.0564sec.; Torque load: 11.7000
0.0565sec.; Torque load: 11.7000
0.0566sec.; Torque load: 11.7000
0.0568sec.; Torque load: 11.7000
0.0569sec.; Torque load: 11.7000
0.0570sec.; Torque load: 11.7000
0.0571sec.; Torque load: 11.7000
0.0573sec.; Torque load: 11.7000
0.0574sec.; Torque load: 11.7000
0.0575sec.; Torque load: 11.7000
0.0576sec.; Torque load: 11.7000
0.0578sec.; Torque load: 11.7000
0.0579sec.; Torque load: 11.7000
0.0580sec.; Torque load: 11.7000
0.0581sec.; Torque load: 11.7000
0.0583sec.; Torque load: 11.7000
0.0584sec.; Torque load: 11.7000
0.0585sec.; Torque load: 11.7000
0.0586sec.; Torque load: 11.7000
0.0588sec.; Torque load: 11.7000
0.0589sec.; Torque load: 11.7000
0.0590sec.; Torque load: 11.7000
0.0591sec.; Torque load: 11.7000
0.0593sec.; Torque load: 11.7000
0.0594sec.; Torque load: 11.7000
0.0595sec.; Torque load: 11.7000
0.0596sec.; Torque load: 11.7000
0.0598sec.; Torque load: 11.7000
0.0599sec.; Torque load: 11.7000
0.0600sec.; Torque load: 11.7000
0.0601sec.; Torque load: 11.7000
0.0602sec.; Torque load: 11.7000
0.0604sec.; Torque load: 11.7000
0.0605sec.; Torque load: 11.7000
0.0606sec.; Torque load: 11.7000
0.0607sec.; Torque load: 11.7000
0.0609sec.; Torque load: 11.7000
0.0610sec.; Torque load: 11.7000
0.0611sec.; Torque load: 11.7000
0.0612sec.; Torque load: 11.7000
0.0614sec.; Torque load: 11.7000
0.0615sec.; Torque load: 11.7000
0.0616sec.; Torque load: 11.7000
0.0617sec.; Torque load: 11.7000
0.0619sec.; Torque load: 11.7000
0.0620sec.; Torque load: 11.7000
0.0621sec.; Torque load: 11.7000
0.0622sec.; Torque load: 11.7000
0.0624sec.; Torque load: 11.7000
0.0625sec.; Torque load: 11.7000
0.0626sec.; Torque load: 11.7000
0.0628sec.; Torque load: 11.7000
0.0629sec.; Torque load: 11.7000
0.0630sec.; Torque load: 11.7000
0.0631sec.; Torque load: 11.7000
0.0633sec.; Torque load: 11.7000
0.0634sec.; Torque load: 11.7000
0.0635sec.; Torque load: 11.7000
0.0636sec.; Torque load: 11.7000
0.0638sec.; Torque load: 11.7000
0.0639sec.; Torque load: 11.7000
0.0640sec.; Torque load: 11.7000
0.0641sec.; Torque load: 11.7000
0.0643sec.; Torque load: 11.7000
0.0644sec.; Torque load: 11.7000
0.0645sec.; Torque load: 11.7000
0.0646sec.; Torque load: 11.7000
0.0648sec.; Torque load: 11.7000
0.0649sec.; Torque load: 11.7000
0.0650sec.; Torque load: 11.7000
0.0651sec.; Torque load: 11.7000
0.0653sec.; Torque load: 11.7000
0.0654sec.; Torque load: 11.7000
0.0655sec.; Torque load: 11.7000
0.0656sec.; Torque load: 11.7000
0.0658sec.; Torque load: 11.7000
0.0659sec.; Torque load: 11.7000
0.0660sec.; Torque load: 11.7000
0.0661sec.; Torque load: 11.7000
0.0663sec.; Torque load: 11.7000
0.0664sec.; Torque load: 11.7000
0.0665sec.; Torque load: 11.7000
0.0666sec.; Torque load: 11.7000
0.0668sec.; Torque load: 11.7000
0.0669sec.; Torque load: 11.7000
0.0670sec.; Torque load: 11.7000
0.0671sec.; Torque load: 11.7000
0.0673sec.; Torque load: 11.7000
0.0674sec.; Torque load: 11.7000
0.0675sec.; Torque load: 11.7000
0.0676sec.; Torque load: 11.7000
0.0678sec.; Torque load: 11.7000
0.0679sec.; Torque load: 11.7000
0.0680sec.; Torque load: 11.7000
0.0681sec.; Torque load: 11.7000
0.0683sec.; Torque load: 11.7000
0.0684sec.; Torque load: 11.7000
0.0685sec.; Torque load: 11.7000
0.0686sec.; Torque load: 11.7000
0.0688sec.; Torque load: 11.7000
0.0689sec.; Torque load: 11.7000
0.0690sec.; Torque load: 11.7000
0.0691sec.; Torque load: 11.7000
0.0693sec.; Torque load: 11.7000
0.0694sec.; Torque load: 11.7000
0.0695sec.; Torque load: 11.7000
0.0696sec.; Torque load: 11.7000
0.0698sec.; Torque load: 11.7000
0.0699sec.; Torque load: 11.7000
0.0700sec.; Torque load: 11.7000
0.0701sec.; Torque load: 11.7000
0.0703sec.; Torque load: 11.7000
0.0704sec.; Torque load: 11.7000
0.0705sec.; Torque load: 11.7000
0.0706sec.; Torque load: 11.7000
0.0708sec.; Torque load: 11.7000
0.0709sec.; Torque load: 11.7000
0.0710sec.; Torque load: 11.7000
0.0711sec.; Torque load: 11.7000
0.0713sec.; Torque load: 11.7000
0.0714sec.; Torque load: 11.7000
0.0715sec.; Torque load: 11.7000
0.0716sec.; Torque load: 11.7000
0.0718sec.; Torque load: 11.7000
0.0719sec.; Torque load: 11.7000
0.0720sec.; Torque load: 11.7000
0.0721sec.; Torque load: 11.7000
0.0722sec.; Torque load: 11.7000
0.0724sec.; Torque load: 11.7000
0.0725sec.; Torque load: 11.7000
0.0726sec.; Torque load: 11.7000
0.0727sec.; Torque load: 11.7000
0.0729sec.; Torque load: 11.7000
0.0730sec.; Torque load: 11.7000
0.0731sec.; Torque load: 11.7000
0.0732sec.; Torque load: 11.7000
0.0734sec.; Torque load: 11.7000
0.0735sec.; Torque load: 11.7000
0.0736sec.; Torque load: 11.7000
0.0737sec.; Torque load: 11.7000
0.0739sec.; Torque load: 11.7000
0.0740sec.; Torque load: 11.7000
0.0741sec.; Torque load: 11.7000
0.0742sec.; Torque load: 11.7000
0.0744sec.; Torque load: 11.7000
0.0745sec.; Torque load: 11.7000
0.0746sec.; Torque load: 11.7000
0.0747sec.; Torque load: 11.7000
0.0749sec.; Torque load: 11.7000
0.0750sec.; Torque load: 11.7000
0.0751sec.; Torque load: 11.7000
0.0752sec.; Torque load: 11.7000
0.0754sec.; Torque load: 11.7000
0.0755sec.; Torque load: 11.7000
0.0756sec.; Torque load: 11.7000
0.0757sec.; Torque load: 11.7000
0.0759sec.; Torque load: 11.7000
0.0760sec.; Torque load: 11.7000
0.0761sec.; Torque load: 11.7000
0.0762sec.; Torque load: 11.7000
0.0764sec.; Torque load: 11.7000
0.0765sec.; Torque load: 11.7000
0.0766sec.; Torque load: 11.7000
0.0767sec.; Torque load: 11.7000
0.0769sec.; Torque load: 11.7000
0.0770sec.; Torque load: 11.7000
0.0771sec.; Torque load: 11.7000
0.0772sec.; Torque load: 11.7000
0.0774sec.; Torque load: 11.7000
0.0775sec.; Torque load: 11.7000
0.0776sec.; Torque load: 11.7000
0.0777sec.; Torque load: 11.7000
0.0779sec.; Torque load: 11.7000
0.0780sec.; Torque load: 11.7000
0.0781sec.; Torque load: 11.7000
0.0783sec.; Torque load: 11.7000
0.0784sec.; Torque load: 11.7000
0.0785sec.; Torque load: 11.7000
0.0786sec.; Torque load: 11.7000
0.0788sec.; Torque load: 11.7000
0.0789sec.; Torque load: 11.7000
0.0790sec.; Torque load: 11.7000
0.0791sec.; Torque load: 11.7000
0.0793sec.; Torque load: 11.7000
0.0794sec.; Torque load: 11.7000
0.0795sec.; Torque load: 11.7000
0.0796sec.; Torque load: 11.7000
0.0798sec.; Torque load: 11.7000
0.0799sec.; Torque load: 11.7000
0.0800sec.; Torque load: 11.7000
0.0801sec.; Torque load: 11.7000
0.0803sec.; Torque load: 11.7000
0.0804sec.; Torque load: 11.7000
0.0805sec.; Torque load: 11.7000
0.0806sec.; Torque load: 11.7000
0.0808sec.; Torque load: 11.7000
0.0809sec.; Torque load: 11.7000
0.0810sec.; Torque load: 11.7000
0.0811sec.; Torque load: 11.7000
0.0813sec.; Torque load: 11.7000
0.0814sec.; Torque load: 11.7000
0.0815sec.; Torque load: 11.7000
0.0816sec.; Torque load: 11.7000
0.0818sec.; Torque load: 11.7000
0.0819sec.; Torque load: 11.7000
0.0820sec.; Torque load: 11.7000
0.0821sec.; Torque load: 11.7000
0.0823sec.; Torque load: 11.7000
0.0824sec.; Torque load: 11.7000
0.0825sec.; Torque load: 11.7000
0.0826sec.; Torque load: 11.7000
0.0828sec.; Torque load: 11.7000
0.0829sec.; Torque load: 11.7000
0.0830sec.; Torque load: 11.7000
0.0831sec.; Torque load: 11.7000
0.0833sec.; Torque load: 11.7000
0.0834sec.; Torque load: 11.7000
0.0835sec.; Torque load: 11.7000
0.0836sec.; Torque load: 11.7000
0.0838sec.; Torque load: 11.7000
0.0839sec.; Torque load: 11.7000
0.0840sec.; Torque load: 11.7000
0.0841sec.; Torque load: 11.7000
0.0843sec.; Torque load: 11.7000
0.0844sec.; Torque load: 11.7000
0.0845sec.; Torque load: 11.7000
0.0846sec.; Torque load: 11.7000
0.0848sec.; Torque load: 11.7000
0.0849sec.; Torque load: 11.7000
0.0850sec.; Torque load: 11.7000
0.0851sec.; Torque load: 11.7000
0.0853sec.; Torque load: 11.7000
0.0854sec.; Torque load: 11.7000
0.0855sec.; Torque load: 11.7000
0.0856sec.; Torque load: 11.7000
0.0858sec.; Torque load: 11.7000
0.0859sec.; Torque load: 11.7000
0.0860sec.; Torque load: 11.7000
0.0861sec.; Torque load: 11.7000
0.0863sec.; Torque load: 11.7000
0.0864sec.; Torque load: 11.7000
0.0865sec.; Torque load: 11.7000
0.0866sec.; Torque load: 11.7000
0.0868sec.; Torque load: 11.7000
0.0869sec.; Torque load: 11.7000
0.0870sec.; Torque load: 11.7000
0.0871sec.; Torque load: 11.7000
0.0873sec.; Torque load: 11.7000
0.0874sec.; Torque load: 11.7000
0.0875sec.; Torque load: 11.7000
0.0876sec.; Torque load: 11.7000
0.0878sec.; Torque load: 11.7000
0.0879sec.; Torque load: 11.7000
0.0880sec.; Torque load: 11.7000
0.0881sec.; Torque load: 11.7000
0.0882sec.; Torque load: 11.7000
0.0884sec.; Torque load: 11.7000
0.0885sec.; Torque load: 11.7000
0.0886sec.; Torque load: 11.7000
0.0887sec.; Torque load: 11.7000
0.0889sec.; Torque load: 11.7000
0.0890sec.; Torque load: 11.7000
0.0891sec.; Torque load: 11.7000
0.0892sec.; Torque load: 11.7000
0.0894sec.; Torque load: 11.7000
0.0895sec.; Torque load: 11.7000
0.0896sec.; Torque load: 11.7000
0.0897sec.; Torque load: 11.7000
0.0899sec.; Torque load: 11.7000
0.0900sec.; Torque load: 11.7000
0.0901sec.; Torque load: 11.7000
0.0902sec.; Torque load: 11.7000
0.0904sec.; Torque load: 11.7000
0.0905sec.; Torque load: 11.7000
0.0906sec.; Torque load: 11.7000
0.0907sec.; Torque load: 11.7000
0.0909sec.; Torque load: 11.7000
0.0910sec.; Torque load: 11.7000
0.0911sec.; Torque load: 11.7000
0.0912sec.; Torque load: 11.7000
0.0914sec.; Torque load: 11.7000
0.0915sec.; Torque load: 11.7000
0.0916sec.; Torque load: 11.7000
0.0917sec.; Torque load: 11.7000
0.0919sec.; Torque load: 11.7000
