0.0396sec. imr:31.4173
0.0397sec. imr:31.4457
0.0398sec. imr:31.474
0.0399sec. imr:31.5023
0.04sec. imr:31.5306
0.0401sec. imr:31.559
0.0402sec. imr:31.5872
0.0403sec. imr:31.6155
0.0404sec. imr:31.6438
0.0405sec. imr:31.6721
0.0406sec. imr:31.7003
0.0407sec. imr:31.7286
0.0408sec. imr:31.7568
0.0409sec. imr:31.7851
0.041sec. imr:31.8133
0.0411sec. imr:31.8416
0.0412sec. imr:31.8698
0.0413sec. imr:31.898
0.0414sec. imr:31.9262
0.0415sec. imr:31.9545
0.0416sec. imr:31.9826
0.0417sec. imr:32.0108
0.0418sec. imr:32.0389
0.0419sec. imr:32.0672
0.042sec. imr:32.0953
0.0421sec. imr:32.1235
0.0422sec. imr:32.1516
0.0423sec. imr:32.1798
0.0424sec. imr:32.2079
0.0425sec. imr:32.2361
0.0426sec. imr:32.2641
0.0427sec. imr:32.2923
0.0428sec. imr:32.3204
0.0429sec. imr:32.3485
0.043sec. imr:32.3766
0.0431sec. imr:32.4047
0.0432sec. imr:32.4327
0.0433sec. imr:32.4609
0.0434sec. imr:32.4889
0.0435sec. imr:32.517
0.0436sec. imr:32.545
0.0437sec. imr:32.5731
0.0438sec. imr:32.601
0.0439sec. imr:32.6291
0.044sec. imr:32.6571
0.0441sec. imr:32.6852
0.0442sec. imr:32.7131
0.0443sec. imr:32.7412
0.0444sec. imr:32.7691
0.0445sec. imr:32.7972
0.0446sec. imr:32.8251
0.0447sec. imr:32.8531
0.0448sec. imr:32.881
0.0449sec. imr:32.909
0.045sec. imr:32.9369
0.0451sec. imr:32.9649
0.0452sec. imr:32.9928
0.0453sec. imr:33.0208
0.0454sec. imr:33.0486
0.0455sec. imr:33.0766
0.0456sec. imr:33.1045
0.0457sec. imr:33.1324
0.0458sec. imr:33.1603
0.0459sec. imr:33.1882
0.046sec. imr:33.216
0.0461sec. imr:33.244
0.0462sec. imr:33.2718
0.0463sec. imr:33.2997
0.0464sec. imr:33.3275
0.0465sec. imr:33.3554
0.0466sec. imr:33.3831
0.0467sec. imr:33.411
0.0468sec. imr:33.4388
0.0469sec. imr:33.4667
0.047sec. imr:33.4944
0.0471sec. imr:33.5223
0.0472sec. imr:33.55
0.0473sec. imr:33.5779
0.0474sec. imr:33.6056
0.0475sec. imr:33.6334
0.0476sec. imr:33.6611
0.0477sec. imr:33.6889
0.0478sec. imr:33.7166
0.0479sec. imr:33.7444
0.048sec. imr:33.7721
0.0481sec. imr:33.7999
0.0482sec. imr:33.8275
0.0483sec. imr:33.8553
0.0484sec. imr:33.883
0.0485sec. imr:33.9107
0.0486sec. imr:33.9384
0.0487sec. imr:33.9661
0.0488sec. imr:33.9937
0.0489sec. imr:34.0215
0.049sec. imr:34.0491
0.0491sec. imr:34.0768
0.0492sec. imr:34.1044
0.0493sec. imr:34.1321
0.0494sec. imr:34.1596
0.0495sec. imr:34.1873
0.0496sec. imr:34.2149
0.0497sec. imr:34.2426
0.0498sec. imr:34.2701
0.0499sec. imr:34.2978
0.05sec. imr:34.3253
0.0501sec. imr:34.353
0.0502sec. imr:34.3805
0.0503sec. imr:34.4081
0.0504sec. imr:34.4356
0.0505sec. imr:34.4632
0.0506sec. imr:34.4907
0.0507sec. imr:34.5183
0.0508sec. imr:34.5458
0.0509sec. imr:34.5734
0.051sec. imr:34.6009
0.0511sec. imr:34.6285
0.0512sec. imr:34.6559
0.0513sec. imr:34.6835
0.0514sec. imr:34.7109
0.0515sec. imr:34.7385
0.0516sec. imr:34.7659
0.0517sec. imr:34.7934
0.0518sec. imr:34.8208
0.0519sec. imr:34.8483
0.052sec. imr:34.8757
0.0521sec. imr:34.9032
0.0522sec. imr:34.9306
0.0523sec. imr:34.9581
0.0524sec. imr:34.9855
0.0525sec. imr:35.013
0.0526sec. imr:35.0403
0.0527sec. imr:35.0678
0.0528sec. imr:35.0951
0.0529sec. imr:35.1226
0.053sec. imr:35.1499
0.0531sec. imr:35.1773
0.0532sec. imr:35.2046
0.0533sec. imr:35.2321
0.0534sec. imr:35.2594
0.0535sec. imr:35.2868
0.0536sec. imr:35.3141
0.0537sec. imr:35.3414
0.0538sec. imr:35.3687
0.0539sec. imr:35.3961
0.054sec. imr:35.4234
0.0541sec. imr:35.4507
0.0542sec. imr:35.478
0.0543sec. imr:35.5053
0.0544sec. imr:35.5325
0.0545sec. imr:35.5599
0.0546sec. imr:35.5871
0.0547sec. imr:35.6144
0.0548sec. imr:35.6416
0.0549sec. imr:35.6689
0.055sec. imr:35.6961
0.0551sec. imr:35.7234
0.0552sec. imr:35.7506
0.0553sec. imr:35.7779
0.0554sec. imr:35.805
0.0555sec. imr:35.8323
0.0556sec. imr:35.8595
0.0557sec. imr:35.8867
0.0558sec. imr:35.9138
0.0559sec. imr:35.9411
0.056sec. imr:35.9682
0.0561sec. imr:35.9954
0.0562sec. imr:36.0225
0.0563sec. imr:36.0498
0.0564sec. imr:36.0768
0.0565sec. imr:36.104
0.0566sec. imr:36.1311
0.0567sec. imr:36.1583
0.0568sec. imr:36.1854
0.0569sec. imr:36.2126
0.057sec. imr:36.2396
0.0571sec. imr:36.2668
0.0572sec. imr:36.2938
0.0573sec. imr:36.3209
0.0574sec. imr:36.348
0.0575sec. imr:36.3751
0.0576sec. imr:36.4021
0.0577sec. imr:36.4292
0.0578sec. imr:36.4562
0.0579sec. imr:36.4833
0.058sec. imr:36.5103
0.0581sec. imr:36.5374
0.0582sec. imr:36.5644
0.0583sec. imr:36.5915
0.0584sec. imr:36.6184
0.0585sec. imr:36.6455
0.0586sec. imr:36.6724
0.0587sec. imr:36.6995
0.0588sec. imr:36.7264
0.0589sec. imr:36.7534
0.059sec. imr:36.7803
0.0591sec. imr:36.8074
0.0592sec. imr:36.8343
0.0593sec. imr:36.8613
0.0594sec. imr:36.8882
0.0595sec. imr:36.9152
0.0596sec. imr:36.942
0.0597sec. imr:36.969
0.0598sec. imr:36.9959
0.0599sec. imr:37.0229
0.06sec. imr:37.0497
0.0601sec. imr:37.0767
0.0602sec. imr:37.1035
0.0603sec. imr:37.1304
0.0604sec. imr:37.1573
0.0605sec. imr:37.1842
0.0606sec. imr:37.211
0.0607sec. imr:37.2379
0.0608sec. imr:37.2647
0.0609sec. imr:37.2916
0.061sec. imr:37.3184
0.0611sec. imr:37.3453
0.0612sec. imr:37.372
0.0613sec. imr:37.3989
0.0614sec. imr:37.4257
0.0615sec. imr:37.4525
0.0616sec. imr:37.4793
0.0617sec. imr:37.5061
0.0618sec. imr:37.5329
0.0619sec. imr:37.5597
0.062sec. imr:37.5864
0.0621sec. imr:37.6132
0.0622sec. imr:37.6399
0.0623sec. imr:37.6667
0.0624sec. imr:37.6934
0.0625sec. imr:37.7202
0.0626sec. imr:37.7469
0.0627sec. imr:37.7737
0.0628sec. imr:37.8003
0.0629sec. imr:37.8271
0.063sec. imr:37.8538
0.0631sec. imr:37.8805
0.0632sec. imr:37.9071
0.0633sec. imr:37.9339
0.0634sec. imr:37.9605
0.0635sec. imr:37.9872
0.0636sec. imr:38.0138
0.0637sec. imr:38.0406
0.0638sec. imr:38.0671
0.0639sec. imr:38.0938
0.064sec. imr:38.1204
0.0641sec. imr:38.1471
0.0642sec. imr:38.1737
0.0643sec. imr:38.2004
0.0644sec. imr:38.2269
0.0645sec. imr:38.2536
0.0646sec. imr:38.2801
0.0647sec. imr:38.3068
0.0648sec. imr:38.3333
0.0649sec. imr:38.3599
0.065sec. imr:38.3865
0.0651sec. imr:38.4131
0.0652sec. imr:38.4396
0.0653sec. imr:38.4662
0.0654sec. imr:38.4927
0.0655sec. imr:38.5193
0.0656sec. imr:38.5458
0.0657sec. imr:38.5723
0.0658sec. imr:38.5988
0.0659sec. imr:38.6254
0.066sec. imr:38.6518
0.0661sec. imr:38.6784
0.0662sec. imr:38.7048
0.0663sec. imr:38.7314
0.0664sec. imr:38.7578
0.0665sec. imr:38.7843
0.0666sec. imr:38.8107
0.0667sec. imr:38.8372
0.0668sec. imr:38.8636
0.0669sec. imr:38.8901
0.067sec. imr:38.9165
0.0671sec. imr:38.943
0.0672sec. imr:38.9694
0.0673sec. imr:38.9959
0.0674sec. imr:39.0222
0.0675sec. imr:39.0487
0.0676sec. imr:39.075
0.0677sec. imr:39.1015
0.0678sec. imr:39.1278
0.0679sec. imr:39.1543
0.068sec. imr:39.1806
0.0681sec. imr:39.207
0.0682sec. imr:39.2333
0.0683sec. imr:39.2597
0.0684sec. imr:39.286
0.0685sec. imr:39.3124
0.0686sec. imr:39.3387
0.0687sec. imr:39.3651
0.0688sec. imr:39.3914
0.0689sec. imr:39.4177
0.069sec. imr:39.444
0.0691sec. imr:39.4703
0.0692sec. imr:39.4966
0.0693sec. imr:39.5229
0.0694sec. imr:39.5492
0.0695sec. imr:39.5755
0.0696sec. imr:39.6017
0.0697sec. imr:39.628
0.0698sec. imr:39.6542
0.0699sec. imr:39.6806
0.07sec. imr:39.7067
0.0701sec. imr:39.733
0.0702sec. imr:39.7592
0.0703sec. imr:39.7855
0.0704sec. imr:39.8117
0.0705sec. imr:39.8379
0.0706sec. imr:39.8641
0.0707sec. imr:39.8903
0.0708sec. imr:39.9165
0.0709sec. imr:39.9427
0.071sec. imr:39.9689
0.0711sec. imr:39.9951
0.0712sec. imr:40.0212
0.0713sec. imr:40.0474
0.0714sec. imr:40.0735
0.0715sec. imr:40.0997
0.0716sec. imr:40.1258
0.0717sec. imr:40.152
0.0718sec. imr:40.1781
0.0719sec. imr:40.2043
0.072sec. imr:40.2303
0.0721sec. imr:40.2565
0.0722sec. imr:40.2826
0.0723sec. imr:40.3087
0.0724sec. imr:40.3347
0.0725sec. imr:40.3609
